angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.67,"[195, 53, 216, 297]",0.02,0.06,0.0,0.11,0.14,0.0
0.69,"[200, 55, 219, 297]",0.01,0.1,0.0,0.08,0.12,0.0
0.6,"[193, 43, 217, 302]",0.06,0.03,0.0,0.11,0.19,0.0
0.67,"[193, 41, 219, 304]",0.02,0.05,0.0,0.08,0.17,0.0
0.69,"[200, 57, 219, 296]",0.01,0.11,0.0,0.06,0.14,0.0
0.68,"[201, 58, 217, 296]",0.0,0.15,0.0,0.03,0.13,0.0
0.72,"[200, 58, 218, 297]",0.0,0.11,0.0,0.04,0.12,0.0
0.76,"[202, 63, 216, 292]",0.02,0.09,0.0,0.02,0.1,0.0
0.71,"[201, 61, 216, 296]",0.01,0.15,0.0,0.02,0.11,0.0
0.74,"[201, 61, 216, 297]",0.02,0.14,0.0,0.02,0.08,0.0
0.73,"[201, 60, 216, 299]",0.01,0.17,0.0,0.01,0.08,0.0
0.71,"[201, 61, 216, 298]",0.01,0.14,0.0,0.03,0.11,0.0
0.76,"[202, 64, 215, 294]",0.06,0.09,0.0,0.01,0.08,0.0
0.82,"[202, 66, 215, 293]",0.03,0.07,0.0,0.01,0.07,0.0
0.81,"[202, 67, 215, 291]",0.03,0.09,0.0,0.01,0.06,0.0
0.83,"[202, 67, 214, 292]",0.02,0.07,0.0,0.01,0.07,0.0
0.79,"[203, 67, 214, 292]",0.07,0.08,0.0,0.01,0.05,0.0
0.66,"[197, 54, 212, 288]",0.27,0.02,0.0,0.03,0.03,0.0
0.74,"[197, 53, 214, 291]",0.19,0.02,0.0,0.02,0.03,0.0
0.67,"[197, 54, 212, 290]",0.25,0.02,0.0,0.02,0.04,0.0
0.82,"[197, 53, 213, 291]",0.12,0.02,0.0,0.01,0.03,0.0
0.89,"[197, 52, 213, 292]",0.05,0.02,0.0,0.01,0.02,0.0
0.85,"[197, 52, 213, 292]",0.08,0.02,0.0,0.02,0.03,0.0
0.74,"[198, 54, 212, 290]",0.2,0.02,0.0,0.02,0.02,0.0
0.71,"[198, 53, 212, 292]",0.22,0.02,0.0,0.02,0.03,0.0
0.64,"[198, 55, 212, 289]",0.3,0.02,0.0,0.02,0.02,0.0
0.67,"[197, 53, 213, 292]",0.24,0.02,0.0,0.03,0.03,0.0
0.54,"[198, 52, 213, 293]",0.42,0.01,0.0,0.01,0.02,0.0
0.44,"[201, 62, 209, 287]",0.52,0.02,0.0,0.0,0.01,0.0
0.21,"[192, 43, 215, 304]",0.74,0.0,0.0,0.01,0.03,0.0
0.3,"[192, 42, 215, 305]",0.62,0.01,0.0,0.02,0.06,0.0
0.23,"[195, 38, 218, 308]",0.6,0.01,0.0,0.06,0.09,0.0
