angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.96,"[240, 50, 125, 177]",0.0,0.01,0.0,0.01,0.02,0.01
0.98,"[239, 49, 127, 179]",0.0,0.01,0.0,0.0,0.01,0.0
0.93,"[241, 50, 125, 177]",0.03,0.01,0.0,0.01,0.02,0.0
0.9,"[241, 50, 124, 175]",0.07,0.01,0.0,0.0,0.02,0.0
0.75,"[242, 56, 122, 167]",0.21,0.01,0.0,0.01,0.02,0.0
0.73,"[241, 56, 123, 167]",0.2,0.01,0.0,0.01,0.05,0.0
0.84,"[241, 57, 122, 166]",0.07,0.02,0.0,0.01,0.06,0.0
0.72,"[241, 60, 122, 165]",0.21,0.01,0.0,0.01,0.05,0.0
0.8,"[241, 58, 120, 165]",0.06,0.08,0.0,0.01,0.04,0.0
0.73,"[242, 62, 121, 162]",0.14,0.09,0.0,0.0,0.04,0.0
0.73,"[242, 62, 121, 162]",0.14,0.09,0.0,0.0,0.03,0.0
0.18,"[240, 67, 121, 168]",0.06,0.48,0.0,0.01,0.24,0.03
0.21,"[238, 61, 121, 167]",0.07,0.22,0.0,0.01,0.49,0.01
0.28,"[238, 61, 119, 166]",0.0,0.23,0.0,0.04,0.44,0.0
0.38,"[238, 58, 122, 165]",0.0,0.27,0.0,0.05,0.3,0.0
0.39,"[237, 62, 123, 164]",0.02,0.17,0.0,0.09,0.32,0.01
0.49,"[237, 60, 122, 163]",0.02,0.13,0.0,0.09,0.27,0.0
0.49,"[240, 61, 118, 161]",0.02,0.15,0.0,0.05,0.28,0.0
0.31,"[246, 64, 112, 149]",0.23,0.23,0.0,0.02,0.21,0.0
0.76,"[244, 60, 112, 152]",0.01,0.07,0.0,0.01,0.14,0.0
0.77,"[244, 60, 112, 152]",0.01,0.07,0.0,0.01,0.14,0.0
0.5,"[246, 61, 116, 155]",0.44,0.01,0.0,0.0,0.04,0.0
0.83,"[246, 57, 120, 164]",0.16,0.0,0.0,0.0,0.01,0.0
0.67,"[246, 59, 119, 163]",0.19,0.02,0.0,0.05,0.05,0.0
0.84,"[245, 56, 122, 168]",0.06,0.02,0.0,0.02,0.05,0.0
0.85,"[245, 56, 122, 168]",0.06,0.02,0.0,0.02,0.04,0.0
0.72,"[244, 55, 122, 169]",0.09,0.02,0.0,0.08,0.09,0.0
0.77,"[244, 54, 123, 170]",0.04,0.02,0.0,0.08,0.08,0.0
0.73,"[242, 52, 125, 172]",0.03,0.01,0.0,0.14,0.08,0.0
0.7,"[242, 55, 123, 170]",0.13,0.01,0.01,0.08,0.07,0.0
0.71,"[242, 55, 123, 170]",0.13,0.01,0.01,0.08,0.06,0.0
0.7,"[242, 59, 124, 170]",0.15,0.03,0.01,0.05,0.06,0.0
0.47,"[242, 60, 124, 169]",0.23,0.06,0.02,0.07,0.14,0.0
0.56,"[241, 61, 121, 166]",0.24,0.05,0.0,0.05,0.09,0.0
0.5,"[239, 60, 123, 168]",0.16,0.02,0.02,0.2,0.11,0.0
0.75,"[239, 61, 122, 167]",0.14,0.01,0.0,0.05,0.05,0.0
0.63,"[238, 65, 123, 163]",0.06,0.11,0.0,0.02,0.17,0.0
0.68,"[234, 62, 125, 168]",0.12,0.1,0.0,0.01,0.08,0.0
0.6,"[233, 56, 124, 171]",0.02,0.28,0.0,0.0,0.09,0.01
0.43,"[235, 59, 124, 172]",0.09,0.24,0.0,0.01,0.21,0.01
0.32,"[234, 58, 124, 170]",0.09,0.27,0.01,0.01,0.29,0.01
0.38,"[237, 60, 121, 160]",0.02,0.38,0.0,0.01,0.17,0.04
0.6,"[240, 63, 119, 159]",0.15,0.18,0.0,0.01,0.06,0.0
0.81,"[241, 61, 120, 165]",0.15,0.0,0.0,0.01,0.03,0.0
0.61,"[242, 60, 120, 162]",0.28,0.02,0.0,0.02,0.07,0.0
0.59,"[242, 60, 120, 162]",0.31,0.02,0.0,0.02,0.07,0.0
0.66,"[243, 60, 121, 163]",0.32,0.0,0.0,0.0,0.01,0.0
0.92,"[245, 61, 123, 168]",0.04,0.01,0.0,0.0,0.02,0.0
0.93,"[246, 60, 123, 170]",0.03,0.01,0.0,0.0,0.02,0.0
0.77,"[246, 55, 124, 173]",0.18,0.01,0.0,0.01,0.03,0.0
0.74,"[246, 59, 124, 171]",0.2,0.01,0.0,0.0,0.04,0.0
0.21,"[251, 56, 118, 162]",0.76,0.01,0.0,0.0,0.02,0.0
0.37,"[252, 56, 119, 163]",0.59,0.02,0.0,0.0,0.02,0.0
0.31,"[252, 55, 118, 164]",0.64,0.01,0.0,0.0,0.03,0.0
0.91,"[248, 59, 124, 172]",0.04,0.02,0.0,0.0,0.03,0.0
0.86,"[252, 62, 115, 161]",0.08,0.01,0.0,0.0,0.05,0.0
0.92,"[247, 58, 126, 174]",0.04,0.01,0.0,0.0,0.02,0.0
0.91,"[250, 55, 122, 170]",0.03,0.01,0.0,0.0,0.04,0.0
0.85,"[250, 55, 122, 172]",0.02,0.01,0.0,0.01,0.09,0.01
0.9,"[246, 54, 126, 180]",0.01,0.01,0.01,0.01,0.06,0.01
0.88,"[246, 53, 126, 182]",0.01,0.01,0.01,0.01,0.07,0.01
0.34,"[247, 55, 125, 174]",0.06,0.04,0.04,0.35,0.17,0.0
0.37,"[247, 57, 124, 171]",0.08,0.04,0.01,0.35,0.15,0.0
0.74,"[246, 59, 123, 169]",0.11,0.01,0.0,0.04,0.09,0.0
0.93,"[245, 58, 124, 173]",0.02,0.0,0.0,0.01,0.03,0.0
0.91,"[244, 57, 126, 175]",0.01,0.01,0.0,0.01,0.05,0.01
0.91,"[245, 58, 124, 172]",0.02,0.01,0.0,0.01,0.04,0.0
0.55,"[246, 57, 123, 171]",0.37,0.01,0.0,0.03,0.04,0.0
0.61,"[246, 57, 123, 170]",0.23,0.02,0.0,0.06,0.08,0.0
0.72,"[246, 56, 123, 171]",0.12,0.02,0.0,0.05,0.08,0.0
0.78,"[247, 56, 122, 172]",0.11,0.01,0.0,0.04,0.06,0.0
